partner_id,partner_name,city
266,Pari Lanka,Mumbai
267,Elakshi Ratta,Pune
268,Anya Bal,Mumbai
269,Oorja Mahal,Hyderabad
270,Misha Mani,Bengaluru
271,Rania Wable,Hyderabad
272,Anahi Ramanathan,Surat
273,Bhamini Yohannan,Hyderabad
274,Hazel Kumer,Surat
275,Dhanuk Deol,Mumbai
276,Jivin Cheema,Kolkata
277,Hazel Shukla,Ahmedabad
278,Manjari Halder,Surat
279,Seher Dhaliwal,Pune
280,Manjari Kothari,Mumbai
281,Kiaan Lad,Chennai
282,Anika Kapadia,Delhi
283,Purab Brahmbhatt,Hyderabad
284,Saksham Borde,Kolkata
285,Rohan Bail,Ahmedabad
286,Mahika Bains,Surat
287,Shray Sridhar,Jaipur
288,Aradhya Soni,Pune
289,Shayak Karnik,Surat
290,Zaina Sengupta,Delhi
291,Rasha Bhatnagar,Pune
292,Riaan Sarkar,Hyderabad
293,Nishith Rout,Ahmedabad
294,Jayesh Yogi,Surat
295,Alia Madan,Hyderabad
296,Mannat Grewal,Delhi
297,Onkar Date,Mumbai
298,Prisha Choudhry,Surat
299,Taran Sahota,Kolkata
300,Ranbir Taneja,Surat
301,Abram Sabharwal,Bengaluru
302,Jayant Seth,Chennai
303,Ojas Sarna,Delhi
304,Romil Varma,Kolkata
305,Romil Som,Pune
306,Abram Cherian,Surat
307,Mahika Chahal,Pune
308,Amira Dhingra,Mumbai
309,Ira Bansal,Kolkata
310,Madhup Baral,Delhi
311,Akarsh Gopal,Delhi
312,Lakshay Korpal,Kolkata
313,Tanya Saxena,Chennai
314,Samiha Kumer,Hyderabad
315,Bhamini Sachar,Surat
316,Tushar Swamy,Surat
317,Aaina Dash,Ahmedabad
318,Divyansh Gopal,Kolkata
319,Vaibhav Sibal,Hyderabad
320,Amani Dar,Chennai
321,Devansh Chada,Surat
322,Yakshit Yogi,Chennai
323,Kashvi Zachariah,Delhi
324,Charvi Savant,Delhi
325,Drishya Chaudhari,Delhi
326,Eva Tata,Surat
327,Arhaan Din,Pune
328,Madhup Kala,Hyderabad
329,Alisha Mann,Kolkata
330,Gokul Suresh,Mumbai
331,Stuvan Sanghvi,Pune
332,Ishita Dhingra,Delhi
333,Kiara Thakkar,Pune
334,Baiju Manda,Surat
335,Pihu Sankaran,Delhi
336,Pihu Chokshi,Hyderabad
337,Vardaniya Cheema,Delhi
338,Stuvan Dube,Chennai
339,Renee Zachariah,Jaipur
340,Piya Sheth,Kolkata
341,Dharmajan Shukla,Hyderabad
342,Hunar Choudhary,Pune
343,Anaya Dayal,Delhi
344,Adira Bahl,Mumbai
345,Inaaya  Sharma,Delhi
346,Tiya Dave,Ahmedabad
347,Diya Sheth,Mumbai
348,Adira Rattan,Ahmedabad
349,Anika Gera,Chennai
350,Pari Khanna,Bengaluru
351,Saanvi Dugar,Surat
352,Rania Bedi,Ahmedabad
353,Drishya Chowdhury,Kolkata
354,Hazel Jain,Hyderabad
355,Taimur Goswami,Mumbai
356,Ela Buch,Chennai
357,Kiara Bhattacharyya,Hyderabad
358,Lagan Raj,Jaipur
359,Abram Rama,Chennai
360,Rasha Kalla,Chennai
361,Umang Dutt,Jaipur
362,Dhanuk Garg,Delhi
363,Indrajit Butala,Surat
364,Vedika Barman,Jaipur
365,Eshani Kibe,Chennai
366,Myra Gola,Ahmedabad
367,Neelofar Thaman,Chennai
368,Uthkarsh Talwar,Delhi
369,Vivaan Kaul,Kolkata
370,Rasha Bhattacharyya,Pune
371,Anvi Krishnamurthy,Chennai
372,Ryan Chaudhuri,Delhi
373,Jayant Luthra,Pune
374,Shayak Sachar,Surat
375,Taimur Tandon,Surat
376,Samar Sarma,Surat
377,Sana Vig,Hyderabad
378,Ahana  Vala,Ahmedabad
379,Baiju Lala,Jaipur
380,Onkar Butala,Jaipur
381,Aniruddh Dhingra,Chennai
382,Himmat Ben,Hyderabad
383,Kabir Wadhwa,Chennai
384,Kiaan Gopal,Pune
385,Navya Jayaraman,Mumbai
386,Uthkarsh Sant,Bengaluru
387,Kartik Saran,Kolkata
388,Riaan Rajagopalan,Delhi
389,Ranbir Bandi,Surat
390,Rohan Kohli,Pune
391,Dharmajan Choudhary,Mumbai
392,Aayush Dara,Delhi
393,Yashvi Dhar,Chennai
394,Pari Mani,Hyderabad
395,Dishani Luthra,Pune
396,Kanav Rastogi,Mumbai
397,Aarush Ahuja,Ahmedabad
398,Samaira Chawla,Delhi
399,Jivin Singh,Mumbai
400,Devansh Deo,Mumbai
401,Dhruv Singh,Ahmedabad
402,Mamooty Amble,Surat
403,Farhan Dani,Hyderabad
404,Piya Chadha,Mumbai
405,Aayush Dasgupta,Ahmedabad
406,Ojas Sethi,Surat
407,Hansh Anne,Bengaluru
408,Keya Chakraborty,Surat
409,Divit Sridhar,Hyderabad
410,Jhanvi Basak,Hyderabad
411,Tejas Kaur,Pune
412,Adah Krish,Delhi
413,Raunak Mahal,Pune
414,Shlok Dani,Surat
415,Alisha Zachariah,Jaipur
416,Aayush Dutta,Surat
417,Parinaaz Manda,Jaipur
418,Tanya Wali,Kolkata
419,Kiara Tripathi,Ahmedabad
420,Gatik Sodhi,Hyderabad
421,Anahi Brahmbhatt,Kolkata
422,Shalv Bhattacharyya,Chennai
423,Gokul Bobal,Pune
424,Kiara Soni,Delhi
425,Tarini Gour,Kolkata
426,Raghav Shan,Chennai
427,Jiya Kota,Pune
428,Miraya Sarraf,Pune
429,Myra Ramanathan,Jaipur
430,Armaan Bakshi,Delhi
431,Drishya Karpe,Delhi
432,Ojas Kata,Mumbai
433,Jivin Din,Kolkata
434,Zain Yadav,Bengaluru
435,Mehul Hegde,Kolkata
436,Chirag Gokhale,Kolkata
437,Heer Bhatnagar,Hyderabad
438,Purab Gulati,Bengaluru
439,Eshani Gopal,Delhi
440,Taimur Savant,Kolkata
441,Divyansh Gade,Hyderabad
442,Aniruddh Chandra,Delhi
443,Advika Ahluwalia,Ahmedabad
444,Dharmajan Ranganathan,Chennai
445,Tarini Saran,Chennai
446,Sara Sastry,Surat
447,Inaaya  Vaidya,Jaipur
448,Adah Madan,Ahmedabad
449,Nakul Handa,Surat
450,Rohan Doctor,Bengaluru
451,Jayan Kalla,Chennai
452,Chirag Sachar,Jaipur
453,Jayesh Johal,Mumbai
454,Aniruddh Kara,Surat
455,Nirvaan Kurian,Bengaluru
456,Miraan Ramesh,Jaipur
457,Bhamini Din,Surat
458,Raunak Din,Mumbai
459,Siya Grewal,Surat
460,Anvi Sekhon,Jaipur
461,Aarush Kala,Hyderabad
462,Kanav Dugar,Ahmedabad
463,Advika Saxena,Pune
464,Zeeshan Anne,Kolkata
465,Eshani Savant,Kolkata
466,Faiyaz Balan,Ahmedabad
467,Jivin Dixit,Delhi
468,Tiya Sachdev,Mumbai
469,Ojas Jhaveri,Kolkata
470,Tara Kadakia,Mumbai
471,Farhan Das,Hyderabad
472,Bhavin Uppal,Delhi
473,Riaan Choudhary,Ahmedabad
474,Shamik Swamy,Surat
475,Dhanuk Zacharia,Ahmedabad
476,Azad Dara,Ahmedabad
477,Alisha Jani,Pune
478,Tiya Ravel,Ahmedabad
479,Vardaniya Bal,Hyderabad
480,Damini Batta,Delhi
481,Jayant Aurora,Pune
482,Kanav Kurian,Hyderabad
483,Bhavin Varghese,Mumbai
484,Veer Bera,Ahmedabad
485,Urvi Deshpande,Delhi
486,Azad Halder,Kolkata
487,Jivika Bhatti,Mumbai
488,Anahi Dey,Ahmedabad
489,Ritvik Ramachandran,Jaipur
490,Shamik Atwal,Surat
491,Raunak Banerjee,Ahmedabad
492,Samarth Konda,Mumbai
493,Shaan Kanda,Delhi
494,Rati Sule,Ahmedabad
495,Purab Bahri,Bengaluru
496,Adira Bir,Pune
497,Eva Ben,Pune
498,Anahi Dutt,Surat
499,Emir Kota,Jaipur
500,Pranay Balasubramanian,Kolkata
