order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,delivery_address,expected_delivery_time,delivery_partner_id
103,392,3,Paneer Tikka,2024-02-09 06:36:35,2024-02-09 07:27:35,Successful,584.44,2,"H.No. 571, Ramanathan Path, Alappuzha 053557",2024-02-09 07:05:35,77
104,2,89,Samosa,2024-09-07 02:13:36,2024-09-07 04:11:36,Successful,832.09,1,"996
Gera Road
Sonipat 820429",2024-09-07 02:38:36,400
105,355,56,Samosa,2024-01-18 15:50:30,2024-01-18 17:30:30,Successful,774.86,5,"H.No. 284, Kota Street, Delhi-162990",2024-01-18 16:11:30,183
106,47,175,Pav Bhaji,2024-07-07 05:39:25,2024-07-07 07:30:25,Successful,288.89,2,"H.No. 610, Gandhi Path
Bhopal 635971",2024-07-07 06:03:25,309
107,309,226,Biryani,2024-04-22 03:24:55,2024-04-22 04:00:55,Successful,508.25,2,"H.No. 63, Mahal Chowk, Tadipatri-721416",2024-04-22 03:54:55,218
108,126,283,Dosa,2024-02-12 08:26:29,2024-02-12 09:02:29,Successful,112.54,4,"H.No. 57, Bedi Chowk, Vellore 666371",2024-02-12 08:49:29,111
109,189,293,Biryani,2024-07-25 09:00:11,2024-07-25 10:57:11,Successful,311.32,5,"H.No. 10, Choudhury Road
Agartala-126075",2024-07-25 09:37:11,478
110,456,98,Dal Makhani,2024-01-01 07:42:11,2024-01-01 09:42:11,Successful,227.46,2,"29
Maharaj Street
Dehradun 943023",2024-01-01 08:13:11,492
111,236,105,Samosa,2024-09-11 00:19:01,2024-09-11 00:52:01,Successful,876.6,5,"65, Solanki Nagar, Dhanbad 649803",2024-09-11 00:58:01,363
112,416,87,Aloo Paratha,2024-04-26 09:03:48,2024-04-26 09:43:48,Cancelled,401.71,4,"H.No. 28
Bhagat Circle, Bhubaneswar 937303",2024-04-26 09:25:48,462
113,88,118,Dal Makhani,2024-05-14 00:39:30,2024-05-14 01:35:30,Successful,709.46,2,"H.No. 65
Tank Marg, Rampur-808036",2024-05-14 01:08:30,182
114,130,282,Dosa,2024-03-09 03:58:57,2024-03-09 04:36:57,Successful,502.39,5,"49, Boase Road, Meerut-519863",2024-03-09 04:27:57,284
115,466,73,Butter Chicken,2024-01-24 03:55:40,2024-01-24 04:19:40,Successful,847.05,4,"484
Sarin Street
Thoothukudi-136664",2024-01-24 04:33:40,52
116,397,234,Pav Bhaji,2024-01-01 11:54:35,2024-01-01 13:24:35,Successful,468.38,3,"H.No. 311
Johal Ganj
Dharmavaram 533104",2024-01-01 12:24:35,131
117,36,44,Aloo Paratha,2024-03-03 00:01:01,2024-03-03 01:41:01,Successful,656.31,3,"H.No. 827, Sarkar Nagar
Bijapur 175741",2024-03-03 00:32:01,428
118,315,52,Tandoori Chicken,2024-02-17 06:26:45,2024-02-17 06:55:45,Cancelled,835.06,1,"721
Sarma, Bihar Sharif 101345",2024-02-17 06:48:45,309
119,210,55,Chole Bhature,2024-07-09 16:27:43,2024-07-09 17:17:43,Cancelled,408.43,5,"078
Reddy
Baranagar 622060",2024-07-09 16:52:43,83
120,488,51,Dosa,2024-04-16 18:10:57,2024-04-16 19:45:57,Successful,557.12,4,"57/00
Setty Zila, Hospet 236242",2024-04-16 18:50:57,332
121,234,109,Aloo Paratha,2024-05-27 10:55:38,2024-05-27 11:34:38,Cancelled,638.61,5,"96, Bhargava Nagar
Haridwar 641671",2024-05-27 11:16:38,152
122,127,128,Biryani,2024-04-19 23:34:13,2024-04-20 01:02:13,Successful,282.0,1,"H.No. 818, Gera Chowk, Davanagere-249852",2024-04-20 00:08:13,120
123,226,160,Tandoori Chicken,2024-04-04 05:58:09,2024-04-04 06:48:09,Successful,884.48,4,"H.No. 35, Jha Road
Serampore 342793",2024-04-04 06:26:09,231
124,477,293,Samosa,2024-03-08 02:23:43,2024-03-08 03:01:43,Successful,347.09,2,"85/136
Wason
Panihati 035303",2024-03-08 02:50:43,79
125,362,51,Chole Bhature,2024-08-27 02:42:15,2024-08-27 03:06:15,Successful,524.93,5,"955
Sachdev Road, Durg 863963",2024-08-27 03:06:15,404
126,273,12,Biryani,2024-09-03 16:20:10,2024-09-03 18:06:10,Successful,837.03,3,"H.No. 264, Sarraf Circle
Bidhannagar 222465",2024-09-03 16:46:10,173
127,47,244,Pav Bhaji,2024-08-13 08:45:26,2024-08-13 09:22:26,Cancelled,862.88,2,"39
Halder Marg
Berhampore-737774",2024-08-13 09:23:26,482
128,44,261,Chole Bhature,2024-01-10 07:43:41,2024-01-10 09:08:41,Successful,189.74,1,"71/30
Sharma Road
Kanpur-102274",2024-01-10 08:17:41,431
129,63,195,Dosa,2024-03-22 21:40:52,2024-03-22 22:46:52,Successful,444.87,2,"33
Kannan Nagar
Tirunelveli 364651",2024-03-22 22:18:52,10
130,285,148,Samosa,2024-05-30 14:22:30,2024-05-30 15:01:30,Successful,730.06,3,"52/690
Chaudry Ganj
Pondicherry-256176",2024-05-30 14:59:30,85
131,448,248,Samosa,2024-04-21 15:55:13,2024-04-21 16:29:13,Successful,453.87,1,"241
Sen Circle, Kulti 657119",2024-04-21 16:18:13,441
132,181,103,Butter Chicken,2024-07-20 20:55:58,2024-07-20 21:48:58,Successful,377.11,1,"H.No. 85, Srinivasan, Tumkur 154624",2024-07-20 21:33:58,191
133,449,13,Dal Makhani,2024-02-27 12:19:00,2024-02-27 13:47:00,Successful,180.92,4,"063, Issac, Faridabad-798434",2024-02-27 12:57:00,101
134,85,266,Chole Bhature,2024-05-08 03:39:24,2024-05-08 04:21:24,Successful,597.64,3,"H.No. 505
Char Street, Bhilwara 419721",2024-05-08 04:11:24,112
135,491,5,Butter Chicken,2024-06-30 02:30:55,2024-06-30 03:23:55,Successful,100.74,4,"02/87, D’Alia Marg, Mango 963379",2024-06-30 03:06:55,110
136,292,248,Butter Chicken,2024-05-18 04:36:19,2024-05-18 05:26:19,Successful,518.85,2,"H.No. 97
Kar Zila, North Dumdum-685723",2024-05-18 04:57:19,8
137,354,295,Butter Chicken,2024-07-09 16:06:11,2024-07-09 16:56:11,Successful,618.6,2,"H.No. 40, Sagar Road
Dehradun-420104",2024-07-09 16:26:11,463
138,126,244,Chole Bhature,2024-01-19 16:49:18,2024-01-19 17:09:18,Successful,669.45,3,"H.No. 20, Ratta Path, Tezpur 492630",2024-01-19 17:09:18,345
139,395,159,Pav Bhaji,2024-06-07 05:42:28,2024-06-07 06:25:28,Successful,436.73,4,"629
Kulkarni Ganj
Nagercoil-368429",2024-06-07 06:20:28,397
140,304,73,Dosa,2024-04-07 00:50:19,2024-04-07 02:17:19,Successful,127.84,4,"79/49, Setty Zila, Shahjahanpur 123231",2024-04-07 01:25:19,388
141,79,8,Dosa,2024-03-18 02:28:23,2024-03-18 03:43:23,Successful,409.8,5,"H.No. 304, Swamy Road, Indore 861466",2024-03-18 03:01:23,163
142,241,166,Biryani,2024-07-15 07:42:28,2024-07-15 09:35:28,Successful,874.22,4,"58/30, Bir Street
Khandwa-594739",2024-07-15 08:15:28,197
143,309,135,Butter Chicken,2024-02-07 01:47:16,2024-02-07 02:43:16,Successful,459.12,1,"34/55
Dara Street, Mau-784651",2024-02-07 02:13:16,8
144,428,198,Tandoori Chicken,2024-05-10 14:31:02,2024-05-10 16:16:02,Successful,696.46,2,"52/39
Tella Ganj, Phusro 819326",2024-05-10 15:10:02,231
145,325,74,Aloo Paratha,2024-06-20 06:26:24,2024-06-20 07:49:24,Successful,987.43,3,"89
Khatri, Phagwara-831560",2024-06-20 06:50:24,469
146,255,39,Butter Chicken,2024-04-21 21:37:56,2024-04-21 22:35:56,Successful,254.01,3,"08, Sankar Street, Aligarh-998994",2024-04-21 22:09:56,112
147,271,127,Butter Chicken,2024-05-30 10:47:48,2024-05-30 11:07:48,Successful,222.9,1,"H.No. 575, Majumdar Chowk, Tumkur-713342",2024-05-30 11:19:48,418
148,86,62,Butter Chicken,2024-03-29 01:56:10,2024-03-29 03:06:10,Successful,128.51,1,"90/41, Varma Chowk, Malegaon-051826",2024-03-29 02:18:10,453
149,197,64,Tandoori Chicken,2024-04-05 00:50:20,2024-04-05 01:53:20,Successful,377.85,5,"50/63, Bala Ganj, Bettiah 907620",2024-04-05 01:15:20,26
150,303,201,Pav Bhaji,2024-02-19 09:14:09,2024-02-19 11:13:09,Successful,617.48,3,"76/757
Ratta Ganj
Pimpri-Chinchwad 306739",2024-02-19 09:46:09,483
151,178,140,Pav Bhaji,2024-02-29 07:13:54,2024-02-29 08:05:54,Successful,254.09,1,"H.No. 774
Suri Chowk
Hindupur 747388",2024-02-29 07:36:54,137
152,125,79,Tandoori Chicken,2024-02-09 14:20:08,2024-02-09 14:50:08,Successful,624.98,1,"89/521, Balay Road, Madurai 512971",2024-02-09 14:56:08,17
153,36,276,Chole Bhature,2024-04-18 03:39:32,2024-04-18 05:05:32,Successful,648.98,5,"H.No. 660
Roy Path
Aurangabad-386505",2024-04-18 04:02:32,55
154,330,131,Dal Makhani,2024-05-18 06:16:25,2024-05-18 06:42:25,Successful,316.56,3,"63/501
Hari Marg
Raebareli 040962",2024-05-18 06:53:25,316
155,74,21,Dal Makhani,2024-07-07 09:28:34,2024-07-07 10:34:34,Successful,571.78,2,"32/831
Krishnan Marg, Nandyal-648818",2024-07-07 09:54:34,166
156,335,208,Biryani,2024-05-11 07:17:16,2024-05-11 07:55:16,Successful,247.06,2,"13/19
Sibal
Tumkur 199925",2024-05-11 07:53:16,264
157,241,49,Dal Makhani,2024-06-08 20:03:00,2024-06-08 20:24:00,Successful,547.59,4,"H.No. 27, Chaudhry Marg
Mehsana-646102",2024-06-08 20:42:00,407
158,452,80,Paneer Tikka,2024-03-29 03:53:11,2024-03-29 04:44:11,Successful,266.79,2,"87, Iyengar Circle, Nellore 855331",2024-03-29 04:20:11,369
159,401,290,Aloo Paratha,2024-07-02 23:25:28,2024-07-03 00:56:28,Successful,268.45,2,"140, Hans Nagar, Jhansi-904333",2024-07-02 23:54:28,101
